external_id,match_score,candidate_name,match_person_full_name,smd_id,match_person_smd_id,match_person_id,good_match
f6bbba9046e29ada92302a1b24f7c496f5aa908aeda2da54dde3de70,100,Christine Miller,Christine Miller,smd_2022_1A05,smd_1A05,10005,1
fbde96f912cdb9994f3d28fe921dcb07d8aaaf091e20cf02e8ddc4f2,100,Jim Malec,Jim Malec,smd_2022_2A08,smd_2022_2A02,11436,1
bba066f180d30c8ed86b14208b20dfb7d29248f415f85bd2886f9637,100,Abel Amene,Abel Amene,smd_2022_4D02,smd_2022_4D02,11705,1
7fb642ee056bba8eac9954545f31deed8a6504ea6e0e33cfd2a41648,100,Eric Heller,Eric Heller,smd_2022_4C07,smd_2022_4C07,11693,1
42c0d7b5dc824e31c9f22d345e41c14e418edc0bfac152fecd053dda,100,Amy B. Hall,Amy B. Hall,smd_2022_3E02,smd_2022_3E02,10097,1
4db20c7613896ea9910146ba6b74a3f1e997e1f34c888dff4826631e,100,J.P. Szymkowicz,J.P. Szymkowicz,smd_2022_3D07,smd_2022_3D07,10094,1
df3ad930a7cc15a2bd16c9d354471761a90e1711115cb43048e14b73,100,Gerald Sroufe,Gerald Sroufe,smd_2022_6B02,smd_2022_6B02,10190,1
95658d70e3467ea82a9d3709f3b79ad9968c5125236861f29e7649cd,100,Tony T. Goodman,Tony T. Goodman,smd_2022_6C07,smd_2022_6C07,11140,1
d8bc009ec798713c8476ddb66472f0678885243926edd56acec282f4,100,Andrea M. Pawley,Andrea M. Pawley,smd_2022_6D04,smd_2022_6D04,11678,1
cced5983c1c4dd11f5891b843439700974bcf0e3adc45d93008c21d1,100,Anthony Thomas-Davis,Anthony Thomas-Davis,smd_2022_1A06,smd_2022_1A06,11694,1
3bdddccb2b24c57ec6f3e15d2d66f3b90543c594c381d9909e482e19,100,Daniel Chao,Daniel Chao,smd_2022_2E07,smd_2022_2E07,11126,1
fc6a9e134790f22ec3fde50e0a884b7f184479f07426c4a957c713d1,100,Charles Boston,Charles Boston,smd_2022_7D01,,11310,1
cb88a15c028d522fdfd663299f08fa6bbb7f906d78fd6acf3e1314c5,100,Janice Ferebee,Janice Ferebee,smd_2022_2F08,smd_2F08,10072,1
9c3ffe70b9621410a064ff6a3e4a47ae9faa7fc74e0b69e98a813d0a,100,J. Swiderski,J. Swiderski,smd_2022_1B03,smd_2022_1B07,11510,1
e7a583a10f262d1f261062ec1b9dcdb8c62e3523f15d1ec70493255d,100,Th-Juan Mcleese-Lewis,Th-Juan McLeese-Lewis,smd_2022_8E07,smd_2022_8E07,11691,1
7499b7c895e3a98d455ee10303fcd80a0c91408fa6a56e96712b8db6,100,Philip Newland,Philip Newland,smd_2022_1E05,smd_2022_1E05,11676,1
a75fa6fee7884e4f4ccfc043ee5d2f533fa17e5b981f716e730dee03,100,Betty Scippio,Betty Scippio,smd_2022_8B02,smd_8B05,10261,1
2f078b9cd7b00e8ceac66cdd41ce6ce45cac721116e5dcd7c6b6ae45,100,Daniel Michelson-Horowitz,Daniel Michelson-Horowitz,smd_2022_1C01,smd_2022_1C01,11686,1
2716fd646c8973d281f7b9f2286ce81adec68fc567a8c7a81e2febcb,100,Elizabeth Carter,Elizabeth Carter,smd_2022_8C08,smd_2022_8A02,11399,1
c76c50895d4fca68b42cdca47583afb21315625f6d32f189121f9d60,100,Juanita Beltran,Juanita Beltran,smd_2022_8B07,smd_2022_8B07,11704,1
99d6210ce7f0489b14b66c130ca62747d0caff1a9e1d479edd481f23,98,"Derrick O. Holloway, Sr.",Derrick O. Holloway Sr.,smd_2022_5A06,smd_2022_5A06,10560,1
f3a3d489ade7ddfd4fd546296a55d11dd861d2264918eac28b2c412e,98,"Alexander M ""Alex"" Padro","Alexander M. ""Alex"" Padro",smd_2022_2G02,smd_2022_2G02,10211,1
adfa9ae15e0eb3655651fef5dc7165a7c30602da97f32481893741bd,97,Jacquline Manning,Jacqueline Manning,smd_2022_5C04,smd_2022_5C04,10161,1
f36bc9e3e80cb7246a140fc81aa9030fb9274bfe840f5cb15c0b929d,97,Ahmad Abu-Khlaf,Ahmad Abu-Khalaf,smd_2022_6E05,smd_2022_6E05,11623,1
ca1d8e1597bb55af4f9afaf23fcc5c971bacf430e3bf95b8e72c03c0,94,Quentin A. Colón Roosevelt,Quentin Colón Roosevelt,smd_2022_3D03,smd_2022_3D03,11364,1
f934aacb28482ce948297eb4b2ac42142019a1f93d59c9f892ca4158,93,Joseph Bishop-Henchman,Joe Bishop-Henchman,smd_2022_5F06,smd_2022_5F06,11582,1
