candidate_id_suggested,match_person_id,election_year,external_id,smd_id,candidate_name
51330,10093,2024,c849c6cbc1093aab5a4bae9e1498645853677eed02586c0e109f5470,smd_2022_3B06,Christine M. Warnke
51331,10115,2024,2c1712a8a13931b39639ea51e31d56ee86615ee1b9b41d03a2624432,smd_2022_4A02,Stacey Lincoln
51332,10528,2024,24719c6c7b975947275ecf9263116b8556bfbe800fc5ffdedf7a9917,smd_2022_7F03,Kimory Kso Orendoff
51333,11481,2024,ae001690a2223fcb95bb8013ba19957344d05cc8d91288b11f9cadf8,smd_2022_3D02,Tricia Duncan
51334,11590,2024,2f5aecdcafb7d52ccc2e2201831acbb2f5e9cf7ddde44befc3321bbe,smd_2022_3/4G02,Bruce Sherman
51335,11701,2024,45df43a77e7aa73e1c694890a47271753d80babdd0a3639c1042203c,smd_2022_6E08,Dale Prince
51336,11707,2024,7c95a98aaaec6f77250d1940ef7c1cd2b307e509bc2506d8cc4bd7f6,smd_2022_1A01,Jaspal S. Bhatia
