external_id,smd_id,candidate_name,pickup_date,filed_date,candidate_status
bd6ca218de0331f29884edd823e3fde009612dd6a2bd9a283112bbd1,smd_2022_1E02,Audra Grant,2024-07-26,2024-08-01,Filed Signatures
2d8002c5eee7caa5ad7adccac0d986c3b668bc07a1653f7edcb0e565,smd_2022_1E03,Philippa Hawker,2024-07-31,,Pulled Papers for Ballot
faf31502df06d09715bedafd2b779ac99b17c0486737d8a70ba232a2,smd_2022_1E04,Rashida Brown,2024-07-08,2024-08-01,Filed Signatures
401e06bc7ea8b802f6c936f9cb1c713e0d96b76802ccd75efa39b0e8,smd_2022_1E05,Ellen E. Armstead,2024-07-18,,Pulled Papers for Ballot
47f74b0809c830e3ad711e9dcc3d51105b38b5d7a64c88ee3b0e4d55,smd_2022_1E05,Philip Newland,2024-07-12,,Pulled Papers for Ballot
3217517536baaf89fb4cf03cbe29c225bf2da67c7b3d72cd007b8d18,smd_2022_1E06,Josh Jacobson,2024-07-01,2024-07-15,Filed Signatures
06a417891acdcfbd5e0edc6936f839f240593b627a7efd89ee348101,smd_2022_1E07,Brian Footer,2024-07-09,2024-07-23,Filed Signatures
71d49d0f0728f026ffa483b88e4cfdd89fd41ea02934f0e7c56bce46,smd_2022_2A02,May Yang,2024-07-26,2024-08-02,Filed Signatures
6b706eb88095e4fa15d742db533390c9b454c2e937857aef234f6154,smd_2022_2A03,Trupti Patel,2024-07-01,,Pulled Papers for Ballot
63b23d0113e9823bdfed81d2571a10626f97fb84f19d57bc0273589d,smd_2022_2A04,Ed Comer,2024-07-15,2024-07-31,Filed Signatures
890e5495be8d14ba9a9a74c44d2da2e7e1aad4ba52671ab361c126db,smd_2022_2A05,Luke Z. Chadwick,2024-07-02,2024-07-31,Filed Signatures
25609e314074f673e0df5406095852cd8c42c8244c60be09b03a9dda,smd_2022_2A08,Jim Malec,2024-07-09,,Pulled Papers for Ballot
d298631e87cc8460b7ddae66c25dd4d936b175384930424f7d73cbc2,smd_2022_2A08,James Harnett (Withdrew 7/4/24),2024-07-03,,Withdrew
0a1bccc525eb54e35f1d88467320dbd6f1f7374de1eea799226acdcc,smd_2022_2B01,Anthony Drake Musa,2024-07-29,2024-08-02,Filed Signatures
c3652904e57634abd5526f213f925ff9b132edc93606161cad283a37,smd_2022_2B02,Jeffrey Reuckgauer,2024-07-02,2024-07-31,Filed Signatures
65c1f27c5552ffa0f23e8d9eaa996ce766f9c84584e9a116817267c0,smd_2022_2B03,Vincent E. Slatt,2024-07-02,,Pulled Papers for Ballot
9a9d5197bc709b9b875f772fcce8023f8ce9100a03b8da3a31a70b26,smd_2022_2B04,Lawrence Sprowls,2024-08-02,,Pulled Papers for Ballot
ae5b851955e6be2db627537214ae698462b6f44801acb1c41530482e,smd_2022_2B05,Alex Marshall,2024-07-09,,Pulled Papers for Ballot
418593d0e7b6ea56d361340cbc770f010345780776f6e112fba87e88,smd_2022_2B06,Matt Johnson,2024-07-12,,Pulled Papers for Ballot
0f1d169d3fa0f97e5e3c1148e35ea386d3a3020a2048fcbe85e0d0de,smd_2022_2B07,Libby Franklin,2024-07-30,,Pulled Papers for Ballot
95bb0b16fcc8e0064ed2b114dc276706caf4c1945f0d27d268f86f24,smd_2022_2B08,Zach Adams,2024-07-03,,Pulled Papers for Ballot
34cd3161e3aae42a24f8070e9d6de8eda2ea0bbef0324e0587efe92e,smd_2022_2B09,Christopher Davis,2024-07-05,2024-08-02,Filed Signatures
74905bccaec49eb0837258309e1d3951466b83e7610a535319b80de7,smd_2022_2C01,Michael D. Shankle,2024-07-12,,Pulled Papers for Ballot
50d7a0d1103b0f8a6c1596ec1413569cc1a19042efc976182d5bfb06,smd_2022_2C02,Nancy Groth,2024-07-18,,Pulled Papers for Ballot
2255f32c6ff28ed0d796d0b55d39847d68e6622068c9983c421eb7ef,smd_2022_2C03,Thomas S. Lee,2024-07-17,2024-07-18,Filed Signatures
5963bb51ba8a2933c75beee64db664d0fbbe5804de6e9bc351daa929,smd_2022_2C04,Jim L. Swart,2024-07-15,2024-08-01,Filed Signatures
1cd817c1555f94963546d46b5425ed1c964ce4023ff1468e0649e743,smd_2022_2D01,Robyn Lipton,2024-07-25,,Pulled Papers for Ballot
8c285ec95777f7ad80b74601a93777196a25445158cf55f1c2b7699f,smd_2022_2D02,Carole L. Feld,2024-07-17,,Pulled Papers for Ballot
390f631251470b0fc393c50e61d91ea30efbb65904681d0c07584e89,smd_2022_2E01,Kishan Putta,2024-07-24,,Pulled Papers for Ballot
e65ef5c7994f66d97b2859053cf397277018b83a5df64eaa689abcd7,smd_2022_2E02,Topher Mathews,2024-07-24,,Pulled Papers for Ballot
441028a5785aa04f16864765a2629038eb993a2459d400d17871593a,smd_2022_2E03,Paul Maysak,2024-08-01,,Pulled Papers for Ballot
d2fabdfb43d0f0bae9584e4dc080a82a36696c6cd58205b8f0a7b82a,smd_2022_2E05,Mimsy Lindner,2024-07-26,,Pulled Papers for Ballot
0a36cd8a9a32f4a7d7814017d42263791dfb1bffa9160491c31961f3,smd_2022_2E06,Gwendolyn Lohse,2024-07-25,,Pulled Papers for Ballot
73ef47ba56734ff4568f49454c6833cb476ad6364295872cfd83db26,smd_2022_2E07,Daniel Chao,2024-07-05,2024-07-19,Filed Signatures
1f3aa5f4abffb3a2018a72115d1d2628fc41171da1e2a950d5dabf45,smd_2022_2F01,David R. Rubenstein,2024-07-12,,Pulled Papers for Ballot
eb1b6f2120518447416f861d9a44b18bcb61605ffd2b2fc2d3e2e8a5,smd_2022_2F02,Neil Finegold Rocklin,2024-07-23,2024-07-31,Filed Signatures
6500680666b64d1ac83aa9037afd29f9a36e55912d5b08401a1d294c,smd_2022_2F03,Joe Florio,2024-07-17,,Pulled Papers for Ballot
f99f0445602f4147738e549e2907240eb9a3947b9f7905ac4698a44d,smd_2022_2F05,Christopher Dyer,2024-07-17,2024-07-29,Filed Signatures
99b17a7596f1458a02e1407838b9a70a1cef02fd6e949fc3c9deaa73,smd_2022_2F06,John Fanning,2024-07-19,,Pulled Papers for Ballot
30db52f6a25ea49cf8cdfaa3286a13a94d13c9f1e17e747f76843e23,smd_2022_2F07,Kevin Cataldo,2024-07-31,,Pulled Papers for Ballot
bd4ca59f2de99ec80f6f5d79c0b232fc1267d1e5d3d0516e3e4254ab,smd_2022_2F08,Janice Ferebee (Withdrew 7/13/24),2024-07-02,,Withdrew
e6430c983a4585a2d0fc57656e4dd3747c037d08d76b9c9e99ecefd4,smd_2022_2G01,Howard Garrett,2024-07-01,2024-07-25,Filed Signatures
8662af75e4a4c28f12272f578d9d15277046ca9329484e7c0f376ad6,smd_2022_2G01,Parker Griffin,2024-07-03,2024-07-31,Filed Signatures
e6163ca0ddb7255a1fb7996476c34cb00e2a9ca76b935b228fa7d755,smd_2022_2G02,"Alexander M ""Alex"" Padro",2024-07-05,,Pulled Papers for Ballot
ca024a66a25e126b7dda858c6758a061395b09557b96906bb801c73d,smd_2022_2G03,Nicole Shea,2024-07-15,2024-07-26,Filed Signatures
b39dcb2d833ad8cfa3dd37872f0959dda60bed32a7838d5d36cedf8e,smd_2022_2G03,"Leroy Joseph Thorpe, Jr.",2024-07-18,2024-07-29,Filed Signatures
57aec5feb888cbcd9d48eb33fa96ca7a50ae0f7bbf0e7692437de749,smd_2022_2G03,Sranda Watkins,2024-07-12,,Pulled Papers for Ballot
5e45d5d41444e7ea9778249c761bdc9af0b076e0f73bcb27a3bad261,smd_2022_2G04,Steven Mccarty,2024-07-01,,Pulled Papers for Ballot
55097caa9ca8c05b32e10a10b04bfb92d25daca3a1eb8b64dcbd6c3c,smd_2022_2G05,Sheena Berry,2024-07-18,,Pulled Papers for Ballot
9993dbdaa549eb4fe659df4e0daee045704e8903ef3ec4175923fc9f,smd_2022_2G06,Rachelle P. Nigro,2024-07-12,2024-08-01,Filed Signatures
3d191e2aa84b2d0d12237d4657634355ad2abadebc8d55f4074b3e41,smd_2022_3/4G01,Lee Mayer,2024-07-16,2024-07-30,Filed Signatures
af5d02afdbabaf3fd4c11a8f2404409f02d3b9cc4980e38fe833abfc,smd_2022_3/4G01,Lisa R. Gore,2024-07-19,2024-07-24,Filed Signatures
2f5aecdcafb7d52ccc2e2201831acbb2f5e9cf7ddde44befc3321bbe,smd_2022_3/4G02,Bruce Sherman,2024-07-29,2024-08-02,Filed Signatures
b4017607b139a18ac36cd170988779d5307245c74dfe4a85a79ac995,smd_2022_3/4G03,James Nash,2024-07-16,,Pulled Papers for Ballot
17dc89fb24d66576fec1da27ab50ba4659f1596a0f1d9b23cfb5a60d,smd_2022_3/4G03,Carol Grunewald,2024-07-29,,Pulled Papers for Ballot
84dbe74645ae06b2fca47b82a3e6127d8f75632a0f9882bc9ffcedba,smd_2022_3/4G04,Mark L Wolfe,2024-07-24,,Pulled Papers for Ballot
792be4086bc59ad50c9ad8d67b9822e723fb796541f95419c6dfb4c7,smd_2022_3/4G04,Laura Phinizy,2024-07-24,2024-07-26,Filed Signatures
646bcc1f2d63ed90a8fe25a16897270b4c24740cf7ea5b26fb2b08cb,smd_2022_3/4G04,Alexander (Alexi) Kullar,2024-07-29,,Pulled Papers for Ballot
5fd6ab5bad3fd1c0d07542255ab139c74de03ed6c6c2e19d432bc403,smd_2022_3/4G05,Cal Simone,2024-07-29,,Pulled Papers for Ballot
1ec794e0684b7741bcf41af3de14e906ceb99701c096a7938dc249cc,smd_2022_3/4G05,Karrenthya Simmons,2024-07-17,2024-08-02,Filed Signatures
0431316324c3f47d73ebbc59044c364cd2aac3278ef3e9f0b81b094a,smd_2022_3/4G05,Mark E. Rooney,2024-07-19,,Pulled Papers for Ballot
cc81f3d4155ae8e06b62258d6bbd400650407b05708f7f922426bb08,smd_2022_3/4G06,Peter Gosselin,2024-07-10,2024-08-01,Filed Signatures
4133840f3bd26c4b37fdb25d13f26d09d4daccb61e6e0ea829dfdba0,smd_2022_3/4G07,"Elizabeth ""Liz"" Nagy",2024-07-19,2024-08-02,Filed Signatures
9cf5a2a21f9e23ee7d6cbc54f17b60bbbb300652f52fb0268c83aee7,smd_2022_3/4G07,Matt Mcfarland,2024-07-25,,Pulled Papers for Ballot
4c89f68a0ee24e3041c964e128d579ad9275d88da68a9654487169fa,smd_2022_3A01,Thaddeus Bradley-Lewis,2024-07-02,,Pulled Papers for Ballot
03177a3d26e125dc5f1d8b5dca64a94bb9a71aa2081bb298e57c28c1,smd_2022_3A03,Maria Perisic,2024-07-19,,Pulled Papers for Ballot
499a9f760e73c1dbbfc8587efaedfb26456e087ee9f25c6d4759d47a,smd_2022_3A03,Isaac Bowers,2024-07-01,2024-07-31,Filed Signatures
51c2b6a90caea0b1c89095979aab01f3fd1c97872dc248989caa1f0b,smd_2022_3A05,Ann Lane Mladinov,2024-07-17,,Pulled Papers for Ballot
0b67334b604be5ae01ef23fa894039d2191ce906e7322b8b463a7545,smd_2022_3B01,Kevin Lavezzo,2024-07-26,2024-08-02,Filed Signatures
8438278e8918f894d6c31ffbf9e5c284894f54974b3b3ec4a6b159f1,smd_2022_3B02,Brian Turmail,2024-07-05,,Pulled Papers for Ballot
d79bf62b0783b88e37d43016e9a44c5c9540c0945c82c1e112c62009,smd_2022_3B03,Melissa Lane,2024-07-23,,Pulled Papers for Ballot
d32c194a6ac7f22ebd6279317ed178020b7ac790a93b7451080cf19e,smd_2022_3B05,Gurpreet Howie,2024-07-30,,Pulled Papers for Ballot
aa002b60f7769a0771d4230f48774e99ca14872f20083f2352ec23e4,smd_2022_3B06,Shannon Robert Rodriguez,2024-07-29,2024-07-30,Filed Signatures
c849c6cbc1093aab5a4bae9e1498645853677eed02586c0e109f5470,smd_2022_3B06,Christine M. Warnke,2024-07-29,2024-08-01,Filed Signatures
a9dbd016bb0f1d50cd48bf8e3123c6a87437f53f3d5146252f539cce,smd_2022_3C01,Hayden Gise,2024-07-26,,Pulled Papers for Ballot
97d0d8429df396d06aff4495782de5820cef95ad3c1bd1395c99b43c,smd_2022_3C02,Adam J. Prinzo,2024-07-02,,Pulled Papers for Ballot
2bf46adb76308aaa09056ed450a32ce9f8c95c3060ac5a12d715c9cb,smd_2022_3C03,Janell Marie Pagats,2024-07-02,,Pulled Papers for Ballot
50eda97c656d05c4a0a0f047f20d8337700c18bafd4e2b618a21462a,smd_2022_3C04,Erin Beard,2024-07-02,,Pulled Papers for Ballot
33eff62c27682c37227b59ba2269a3edb3c596f95556a467196f2e46,smd_2022_3C05,Sauleh Ahmad Siddiqui,2024-07-05,,Pulled Papers for Ballot
d3b7210f89c507ad89131c14edaf8cf5d710124a5b45b0be5c8a904d,smd_2022_3C05,Zach Shaben,2024-07-30,,Pulled Papers for Ballot
5b1ec8fb6e9c91f2383092a18d5d159b387961a2d5c9f40b5bb3119c,smd_2022_3C06,Girish Bose,2024-07-18,2024-08-02,Filed Signatures
ad2ab0cdd3c01259ae4c8827d9f2e30d0d9cd62e066dab8ffc148839,smd_2022_3C07,Gawain Kripke,2024-07-23,,Pulled Papers for Ballot
3d9cb9ebc6fe3d514700ce8afed387c41a6f5288db6141b6b6623d19,smd_2022_3C08,Rick Nash,2024-07-08,,Pulled Papers for Ballot
9f521104aae848fbcf1ed6f298d733b036a1427117e565ce5ac4f3cd,smd_2022_3D01,Chuck Elkins,2024-07-10,2024-07-23,Filed Signatures
d68f8087af496566daffdb7a1cde137959b556175a35b37fb815fd98,smd_2022_3D01,Andrew J. Heimert,2024-07-09,2024-07-23,Filed Signatures
ae001690a2223fcb95bb8013ba19957344d05cc8d91288b11f9cadf8,smd_2022_3D02,Tricia Duncan,2024-07-29,,Pulled Papers for Ballot
33457c2445887233e73f24109bc6c4fe86913d89a15924fdc9c485f7,smd_2022_3D03,Quentin A. Colón Roosevelt,2024-07-02,,Pulled Papers for Ballot
c021a315e7934fe8c4eb0832b2f8a53389aac935b77cb77508f396a8,smd_2022_3D05,Bernie Horn,2024-07-01,,Pulled Papers for Ballot
