election_year,smd_id,external_id,candidate_name,votes,vote_share,ranking,winner,write_in_winner,margin_of_victory,margin_of_victory_percentage,num_candidates,total_votes
2022,smd_2022_6D02,aafad0b60eda51c709805ba614322a71d494014ee908d9fd8684cff2,Tom Seidman,189,0.32642487046632124,2.0,False,False,-178,-0.307426597582038,3,579
2022,smd_2022_6D02,,Write-in,23,0.039723661485319514,3.0,False,False,-344,-0.5941278065630398,3,579
2022,smd_2022_6D03,ac2cf6da5a33ae20f9f93dddaf0b64ed65b5e8abe32a4a2d44634ae7,Gail Fast,545,0.9461805555555556,1.0,True,False,514.0,0.8923611111111112,2,576
2022,smd_2022_6D03,,Write-in,31,0.05381944444444445,2.0,False,False,-514,-0.8923611111111112,2,576
2022,smd_2022_6D04,,Write-in,82,1.0,1.0,True,True,0,0.0,1,82
2022,smd_2022_6D05,979587133aae444c3b633df8a9b2dfd226fbc9cf8e729f5cc8d6f35e,Ashton Rohmer,405,0.9619952494061758,1.0,True,False,389.0,0.9239904988123515,2,421
2022,smd_2022_6D05,,Write-in,16,0.03800475059382423,2.0,False,False,-389,-0.9239904988123515,2,421
2022,smd_2022_6D06,569fe91b0f80bb45e54f62c4cb67ae89b229df4eaa833f84aedb462d,Bruce Levine,700,0.9602194787379973,1.0,True,False,671.0,0.9204389574759946,2,729
2022,smd_2022_6D06,,Write-in,29,0.039780521262002745,2.0,False,False,-671,-0.9204389574759946,2,729
2022,smd_2022_6D07,7cbc34ac9d19e3fd2e07247cb187669fb0558b21f2e5c2f21df1b964,"Fredrica (""RIKKI"") Kramer",713,0.9622132253711201,1.0,True,False,685.0,0.9244264507422402,2,741
2022,smd_2022_6D07,,Write-in,28,0.037786774628879895,2.0,False,False,-685,-0.9244264507422402,2,741
2022,smd_2022_6D08,11108c853031a8c8c64a716d59dc878ac589ba5988156ff13ea00d09,Rhonda Natalie Hamilton,503,0.9785992217898832,1.0,True,False,492.0,0.9571984435797665,2,514
2022,smd_2022_6D08,,Write-in,11,0.021400778210116732,2.0,False,False,-492,-0.9571984435797665,2,514
2022,smd_2022_6E01,9f5b1047d07edbc767285fdb297ddd3cde279e757bd50bd8929b068c,Chris Hart,362,0.9783783783783784,1.0,True,False,354.0,0.9567567567567568,2,370
2022,smd_2022_6E01,,Write-in,8,0.021621621621621623,2.0,False,False,-354,-0.9567567567567568,2,370
2022,smd_2022_6E02,,Write-in,86,1.0,1.0,True,True,0,0.0,1,86
2022,smd_2022_6E03,206944e37fb55c48134c37f3c6cf67d630be0b18278eb564539e2197,Kevin M. Rogers,279,0.9620689655172414,1.0,True,False,268.0,0.9241379310344828,2,290
2022,smd_2022_6E03,,Write-in,11,0.03793103448275862,2.0,False,False,-268,-0.9241379310344828,2,290
2022,smd_2022_6E04,98a6a407bc50cbc67860f0d06a49ce60d207123ea3df843dba16352a,Denise E. Blackson,263,0.9813432835820896,1.0,True,False,258.0,0.9626865671641791,2,268
2022,smd_2022_6E04,,Write-in,5,0.018656716417910446,2.0,False,False,-258,-0.9626865671641791,2,268
2022,smd_2022_6E05,,Write-in,51,1.0,1.0,True,True,0,0.0,1,51
2022,smd_2022_6E06,,Write-in,86,1.0,1.0,True,True,0,0.0,1,86
2022,smd_2022_6E07,,Write-in,43,1.0,1.0,True,True,0,0.0,1,43
2022,smd_2022_6E08,e555947d6ad392e35e06ddc48a14de57be119b096b2df9d00ec5d7f6,Misu Tasnim,282,0.9690721649484536,1.0,True,False,273.0,0.9381443298969072,2,291
2022,smd_2022_6E08,,Write-in,9,0.030927835051546393,2.0,False,False,-273,-0.9381443298969072,2,291
2022,smd_2022_6E09,,Write-in,121,1.0,1.0,True,True,0,0.0,1,121
2022,smd_2022_7B01,c30c8c501a74543fcd104a200f316174483dcd8d5f572b6cd1a0da83,John F. Adams,353,0.9413333333333334,1.0,True,False,331.0,0.8826666666666667,2,375
2022,smd_2022_7B01,,Write-in,22,0.058666666666666666,2.0,False,False,-331,-0.8826666666666667,2,375
2022,smd_2022_7B02,4056dde66782d145930350c1a5860ead4267eab4da5b31b55ef27fa6,Jamaal Maurice Pearsall,689,0.9596100278551533,1.0,True,False,660.0,0.9192200557103065,2,718
2022,smd_2022_7B02,,Write-in,29,0.0403899721448468,2.0,False,False,-660,-0.9192200557103065,2,718
2022,smd_2022_7B03,af88cbca46477dc3054ca578b9fc6156306bf27e4b2eda5f164a5d85,Travis R. Swanson,382,0.9720101781170484,1.0,True,False,371.0,0.9440203562340967,2,393
2022,smd_2022_7B03,,Write-in,11,0.027989821882951654,2.0,False,False,-371,-0.9440203562340967,2,393
2022,smd_2022_7B04,6aef0ccb23c23849e33b7f9427c735ed8d31e384a3e0ecf78700a4d5,D.L. Humphrey,387,0.6683937823834197,1.0,True,False,210.0,0.3626943005181348,3,579
2022,smd_2022_7B04,d83758747f4f5b853bf5d1d597c87fa3a9d654e3c132e74611ed5a86,"David ""DR"" Retland",177,0.30569948186528495,2.0,False,False,-210,-0.3626943005181348,3,579
2022,smd_2022_7B04,,Write-in,15,0.025906735751295335,3.0,False,False,-372,-0.6424870466321244,3,579
2022,smd_2022_7B05,81bd5f786a8dc06fc69e9ba91df0e706d1ff183e989d4875587c2839,Donna Robinson,472,0.9772256728778468,1.0,True,False,461.0,0.9544513457556936,2,483
2022,smd_2022_7B05,,Write-in,11,0.022774327122153208,2.0,False,False,-461,-0.9544513457556936,2,483
2022,smd_2022_7B06,844af0872c630eb75b477711e1a1a762b286aaebb12d6ccd622ff667,Kelvin Earl Brown,671,0.9710564399421129,1.0,True,False,651.0,0.9421128798842258,2,691
2022,smd_2022_7B06,,Write-in,20,0.02894356005788712,2.0,False,False,-651,-0.9421128798842258,2,691
2022,smd_2022_7B07,,Write-in,160,1.0,1.0,True,True,0,0.0,1,160
2022,smd_2022_7B08,,Write-in,132,1.0,1.0,True,True,0,0.0,1,132
