smd_id,lon,lat,smd
smd_1A01,-77.03412972287954,38.93611303340671,1A01
smd_1A02,-77.03443069499727,38.93381287472092,1A02
smd_1A03,-77.03450455712208,38.92757368318783,1A03
smd_1A04,-77.03122314576842,38.93401296303263,1A04
smd_1A05,-77.03437454161045,38.93071628511695,1A05
smd_1A06,-77.02965105723172,38.93012215834535,1A06
smd_1A07,-77.0278763759389,38.93378167485273,1A07
smd_1A08,-77.02281490254708,38.93496990138152,1A08
smd_1A09,-77.02345070046313,38.93190067712,1A09
smd_1A10,-77.02166226756961,38.92972345742108,1A10
smd_1A11,-77.02866324171401,38.92800890344182,1A11
smd_1A12,-77.03218347391251,38.92620919654097,1A12
smd_1B01,-77.01861218673801,38.916735738956596,1B01
smd_1B02,-77.02583608170856,38.91688319962512,1B02
smd_1B03,-77.02621710649917,38.923557802355504,1B03
smd_1B04,-77.03095520357589,38.919351565104044,1B04
smd_1B05,-77.03483518834828,38.92041768275895,1B05
smd_1B06,-77.0336776277388,38.922140502218504,1B06
smd_1B07,-77.03461686211284,38.924469603931065,1B07
smd_1B08,-77.03134464800137,38.92411114943674,1B08
smd_1B09,-77.02465464073077,38.92644435206981,1B09
smd_1B10,-77.0172046040384,38.924602922219826,1B10
smd_1B11,-77.02241712984711,38.92134764964842,1B11
smd_1B12,-77.03045428625738,38.91610948802486,1B12
smd_1C01,-77.04444150766953,38.91718255057215,1C01
smd_1C02,-77.0474322553309,38.920485668517685,1C02
smd_1C03,-77.04376555890136,38.92060991853564,1C03
smd_1C04,-77.04545287701032,38.92522014315882,1C04
smd_1C05,-77.03990269429444,38.926485017805376,1C05
smd_1C06,-77.03833177312441,38.924139554482984,1C06
smd_1C07,-77.04111632889587,38.92099392500231,1C07
smd_1C08,-77.03794146934807,38.9195502902062,1C08
smd_1D01,-77.03942696096965,38.93238644849025,1D01
smd_1D02,-77.03779257845966,38.93605113868006,1D02
smd_1D03,-77.04380037173227,38.93391563133066,1D03
smd_1D04,-77.03766492680333,38.931098480863824,1D04
smd_1D05,-77.04278890813768,38.92961112062137,1D05
smd_2A01,-77.04425158831783,38.885576937131255,2A01
smd_2A02,-77.05257832300465,38.905383972390645,2A02
smd_2A03,-77.05401802772329,38.90251423025199,2A03
smd_2A04,-77.05738344996792,38.89235779548105,2A04
smd_2A05,-77.05154142763605,38.89747613029355,2A05
smd_2A06,-77.04815569240033,38.90398353065301,2A06
smd_2A07,-77.0491771672608,38.899434988882696,2A07
smd_2A08,-77.04717194171766,38.89903557768939,2A08
smd_2B01,-77.04262906875748,38.914253863897834,2B01
smd_2B02,-77.04630794003623,38.910348305356266,2B02
smd_2B03,-77.04140801709126,38.91220144835021,2B03
smd_2B04,-77.03651815198663,38.912616013074135,2B04
smd_2B05,-77.03732469397595,38.904864772107345,2B05
smd_2B06,-77.04457026925343,38.904710500191115,2B06
smd_2B07,-77.0410642677477,38.90919804411436,2B07
smd_2B08,-77.04024711016017,38.91591850367757,2B08
smd_2B09,-77.03521745404072,38.91555449118036,2B09
smd_2C01,-77.027566683382,38.895661961106896,2C01
smd_2C02,-77.01685784182133,38.899374751516405,2C02
smd_2C03,-77.01743103033488,38.89213326718808,2C03
smd_2D01,-77.05249941619984,38.91742694379137,2D01
smd_2D02,-77.05165667289249,38.91386137616636,2D02
smd_2E01,-77.07496999318819,38.91445690216818,2E01
smd_2E02,-77.06848309364115,38.91174065552058,2E02
smd_2E03,-77.06592258566926,38.90810277594152,2E03
smd_2E04,-77.0757647061127,38.908372791070015,2E04
smd_2E05,-77.06605625656543,38.901591435416464,2E05
smd_2E06,-77.05895557411169,38.90755752674934,2E06
smd_2E07,-77.0603289220936,38.913925128589156,2E07
smd_2E08,-77.07248222757704,38.90795759176298,2E08
smd_2F01,-77.03079780490708,38.91261718583722,2F01
smd_2F02,-77.03247768786031,38.90991513802316,2F02
smd_2F03,-77.03239926161336,38.9075520236888,2F03
smd_2F04,-77.02850471731804,38.90975765745203,2F04
smd_2F05,-77.03233863223899,38.904351726175335,2F05
smd_2F06,-77.02441645743131,38.90577558316867,2F06
smd_2F07,-77.02780695310454,38.906451613619446,2F07
smd_2F08,-77.02915432143736,38.903174879240936,2F08
smd_3B01,-77.07775320568358,38.925522325930814,3B01
smd_3B02,-77.07218641074816,38.92087041004729,3B02
smd_3B03,-77.0812546945239,38.92195048325272,3B03
smd_3B04,-77.07970018653832,38.92860508659002,3B04
smd_3B05,-77.07671337856266,38.91940930632059,3B05
smd_3C01,-77.05057441103597,38.92870418383347,3C01
