anc_id_2022,district_area_2022,anc_id_2012,district_area_2012,overlap_area,overlap_perc,district_rank
anc_1A_2022,1125853.8126349787,anc_1A,1663391.9284894618,928026.4509082084,0.8242868128111857,1.0
anc_1A_2022,1125853.8126349787,anc_1B,2671190.982123985,197148.90347592518,0.17511057054069262,2.0
anc_1A_2022,1125853.8126349787,anc_1C,1285108.9555094857,678.2282073286167,0.0006024123200695773,3.0
anc_1A_2022,1125853.8126349787,anc_1D,947589.9760722195,0.18893929392802272,1.6781867397670758e-07,4.0
anc_1A_2022,1125853.8126349787,anc_4C,3139126.035982439,0.04110422217346582,3.65093777825954e-08,5.0
anc_1A_2022,1125853.8126349787,,,1.2361925096631988e-09,1.0980044618492523e-15,6.0
anc_1B_2022,1464265.706897377,anc_1B,2671190.982123985,1399202.2514155002,0.95556581351636,1.0
anc_1B_2022,1464265.706897377,anc_1C,1285108.9555094857,60488.03505671177,0.041309466425242906,2.0
anc_1B_2022,1464265.706897377,anc_5E,3965893.2762453393,4575.3404083741325,0.003124665412036994,3.0
anc_1B_2022,1464265.706897377,anc_6E,1529506.8345961687,0.0703363764687395,4.803525489767481e-08,4.0
anc_1B_2022,1464265.706897377,anc_2B,2160613.4536674614,0.009505125580696711,6.4913939703177635e-09,5.0
anc_1B_2022,1464265.706897377,anc_2F,1186294.9536674782,0.00017528735509491993,1.1971007329423507e-10,6.0
anc_1B_2022,1464265.706897377,,,1.695038914361516e-05,1.1576033682801484e-11,7.0
anc_1C_2022,1224285.2992170996,anc_1C,1285108.9555094857,1222983.5606467747,0.9989367359298055,1.0
anc_1C_2022,1224285.2992170996,anc_3C,5293720.7500980925,1301.0900003728193,0.0010627343162617688,2.0
anc_1C_2022,1224285.2992170996,anc_2D,801770.7250570902,0.36132158424348704,2.9512858193637e-07,3.0
anc_1C_2022,1224285.2992170996,anc_2B,2160613.4536674614,0.0836121606003607,6.829467008533764e-08,4.0
anc_1C_2022,1224285.2992170996,anc_1B,2671190.982123985,0.07692707417172544,6.283427091783134e-08,5.0
anc_1C_2022,1224285.2992170996,anc_1A,1663391.9284894618,0.06386870881713347,5.216815791055887e-08,6.0
anc_1C_2022,1224285.2992170996,anc_1D,947589.9760722195,0.06284042468072365,5.132825226351126e-08,7.0
anc_1C_2022,1224285.2992170996,,,2.1562577468454133e-08,1.761237963262556e-14,8.0
anc_1D_2022,1075325.7524318134,anc_1D,947589.9760722195,947550.2439420928,0.8811750688563343,1.0
anc_1D_2022,1075325.7524318134,anc_1A,1663391.9284894618,127437.6931728123,0.11851077953319374,2.0
anc_1D_2022,1075325.7524318134,anc_1C,1285108.9555094857,213.94158609476747,0.000198955140440881,3.0
anc_1D_2022,1075325.7524318134,anc_3C,5293720.7500980925,123.81937637765117,0.00011514592308204073,4.0
anc_1D_2022,1075325.7524318134,anc_4A,7739216.583634064,0.028824386687301466,2.6805260287048902e-08,5.0
anc_1D_2022,1075325.7524318134,anc_4C,3139126.035982439,0.02553004845484041,2.3741687946285166e-08,6.0
anc_1D_2022,1075325.7524318134,,,4.623881777631773e-10,4.2999823701562235e-16,7.0
anc_1E_2022,1682767.0147779176,anc_1B,2671190.982123985,1074838.848694307,0.6387330148827277,1.0
anc_1E_2022,1682767.0147779176,anc_1A,1663391.9284894618,607927.6027303083,0.3612666503393158,2.0
anc_1E_2022,1682767.0147779176,anc_5E,3965893.2762453393,0.34910762679813184,2.074604646586831e-07,3.0
anc_1E_2022,1682767.0147779176,anc_5A,5823056.505984322,0.20880159450047753,1.2408229580613335e-07,4.0
anc_1E_2022,1682767.0147779176,anc_4C,3139126.035982439,0.005444081468330985,3.235196209886171e-09,5.0
anc_1E_2022,1682767.0147779176,,,2.0527167125749483e-05,1.2198460598218076e-11,6.0
anc_2A_2022,6778235.525591391,anc_2A,7065333.820984872,6587397.049768449,0.9718454050316743,1.0
anc_2A_2022,6778235.525591391,anc_2B,2160613.4536674614,190773.7552483414,0.02814504667594841,2.0
anc_2A_2022,6778235.525591391,anc_2E,4256511.7311461475,62.70479606697354,9.250902514412501e-06,3.0
anc_2A_2022,6778235.525591391,,,1.5557488838749556,2.295212194974914e-07,4.0
anc_2A_2022,6778235.525591391,anc_2C,2861740.5332097644,0.2793379217290691,4.1211008480661684e-08,5.0
anc_2A_2022,6778235.525591391,anc_6D,9865321.123137653,0.1799366976515659,2.6546244516321476e-08,6.0
anc_2A_2022,6778235.525591391,anc_2D,801770.7250570902,0.0007550183325451494,1.1138862461986745e-10,7.0
anc_2B_2022,1318654.344098554,anc_2B,2160613.4536674614,1292193.2027208265,0.979933223974766,1.0
anc_2B_2022,1318654.344098554,anc_2A,7065333.820984872,22138.197964038936,0.016788476876533433,2.0
