smd_id,lon,lat
smd_1A01,-77.03412972,38.93611303
smd_1A02,-77.03443069,38.93381287
smd_1A03,-77.03450456,38.92757368
smd_1A04,-77.03122315,38.93401296
smd_1A05,-77.03437454,38.93071629
smd_1A06,-77.02965106,38.93012216
smd_1A07,-77.02787638,38.93378167
smd_1A08,-77.02281490000001,38.9349699
smd_1A09,-77.0234507,38.93190068
smd_1A10,-77.02166227,38.92972346
smd_1A11,-77.02866324,38.9280089
smd_1A12,-77.03218347,38.9262092
smd_1B01,-77.01861219,38.91673574
smd_1B02,-77.02583608,38.91688320000001
smd_1B03,-77.02621711,38.9235578
smd_1B04,-77.03095520000002,38.91935157
smd_1B05,-77.03483519,38.92041768
smd_1B06,-77.03367763,38.92214050000001
smd_1B07,-77.03461686,38.9244696
smd_1B08,-77.03134465,38.92411115
smd_1B09,-77.02465464,38.92644435
smd_1B10,-77.0172046,38.92460292
smd_1B11,-77.02241713,38.92134765
smd_1B12,-77.03045429,38.91610949
smd_1C01,-77.04444151,38.91718255
smd_1C02,-77.04743226,38.92048567
smd_1C03,-77.04376556,38.92060992
smd_1C04,-77.04545288,38.92522014
smd_1C05,-77.03990269,38.92648502
smd_1C06,-77.03833177,38.92413955
smd_1C07,-77.04111633,38.92099393
smd_1C08,-77.03794147,38.91955029
smd_1D01,-77.03942696,38.93238645
smd_1D02,-77.03779258,38.93605114
smd_1D03,-77.04380037,38.93391563
smd_1D04,-77.03766493,38.93109848
smd_1D05,-77.04278891,38.92961112
smd_2A01,-77.04425159,38.88557694
smd_2A02,-77.05257832,38.90538397
smd_2A03,-77.05401803,38.90251423
smd_2A04,-77.05738345,38.8923578
smd_2A05,-77.05154143,38.89747613
smd_2A06,-77.04815569,38.90398353
smd_2A07,-77.04917717,38.89943499
smd_2A08,-77.04717194,38.89903558
smd_2B01,-77.04262907,38.91425386
smd_2B02,-77.04630794,38.91034831
smd_2B03,-77.04140802,38.91220145
smd_2B04,-77.03651815,38.91261601
smd_2B05,-77.03732469,38.90486477
smd_2B06,-77.043,38.9047105
smd_2B07,-77.04106427,38.90919804
smd_2B08,-77.04024711,38.9159185
smd_2B09,-77.03521745,38.91555449
smd_2C01,-77.02756668,38.89566196
smd_2C02,-77.01685784,38.89937475
smd_2C03,-77.01743103,38.89213327
