smd_id_2022,district_area_2022,smd_id_2012,district_area_2012,overlap_area,overlap_perc,district_rank
smd_1D07,85585.8155400558,smd_1A01,74006.92666921498,74006.68480768563,0.99999673190686,1.0
smd_1A04,137885.8110432808,smd_1A01,74006.92666921498,0.22483323961998775,3.0380026537909553e-06,2.0
smd_4C04,151767.11715538573,smd_1A01,74006.92666921498,0.017028224870938732,2.3008960968003614e-07,3.0
smd_1D06,115019.96121963325,smd_1A01,74006.92666921498,6.47533434045019e-08,8.749632813956273e-13,4.0
,,smd_1A01,74006.92666921498,5.319404614428653e-11,7.187711818117414e-16,5.0
smd_1D02,70215.36109642834,smd_1A01,74006.92666921498,8.216219588366713e-20,1.11019602598691e-24,6.0
smd_1A02,90454.73466510409,smd_1A02,112743.37017368639,59312.56384497807,0.5260847157008374,1.0
smd_1D06,115019.96121963325,smd_1A02,112743.37017368639,41851.818955201976,0.3712131266852083,2.0
smd_1D07,85585.8155400558,smd_1A02,112743.37017368639,11578.913067715788,0.10270149854379851,3.0
smd_1A04,137885.8110432808,smd_1A02,112743.37017368639,0.07430568197520102,6.590691928113349e-07,4.0
smd_1A05,138992.0027073077,smd_1A02,112743.37017368639,1.0856600716840555e-07,9.62948038551221e-13,5.0
,,smd_1A02,112743.37017368639,4.7967096150138575e-11,4.254538078491271e-16,6.0
smd_1D02,70215.36109642834,smd_1A02,112743.37017368639,0.0,0.0,7.0
smd_1A03,65682.3047697429,smd_1A03,76769.9425019336,58045.14011448654,0.756092009747494,1.0
smd_1A01,85597.18720842172,smd_1A03,76769.9425019336,18724.720224596273,0.24390692000485284,2.0
smd_1A09,127755.47099881605,smd_1A03,76769.9425019336,0.07844757209858091,1.0218526879397501e-06,3.0
smd_1A05,138992.0027073077,smd_1A03,76769.9425019336,0.0037148376492766033,4.8389220158436846e-08,4.0
smd_1A06,114341.52462382043,smd_1A03,76769.9425019336,4.4135891577644616e-07,5.74911093316671e-12,5.0
,,smd_1A03,76769.9425019336,2.0268943108590616e-10,2.640218612653006e-15,6.0
smd_1D04,70963.37546461003,smd_1A03,76769.9425019336,0.0,0.0,7.5
smd_1D05,210141.86829017435,smd_1A03,76769.9425019336,0.0,0.0,7.5
smd_1A04,137885.8110432808,smd_1A04,136804.2461637984,124461.26558923884,0.9097763342829208,1.0
smd_1A02,90454.73466510409,smd_1A04,136804.2461637984,12342.623082666194,0.09022105255335518,2.0
smd_1A07,120594.25895088226,smd_1A04,136804.2461637984,0.30151586544680414,2.2039949336498904e-06,3.0
smd_4C04,151767.11715538573,smd_1A04,136804.2461637984,0.03081590352320518,2.2525546090366736e-07,4.0
smd_1A06,114341.52462382043,smd_1A04,136804.2461637984,0.025159785434265558,1.8391085174462534e-07,5.0
smd_4C03,180610.02593985896,smd_1A04,136804.2461637984,3.373546022931164e-07,2.465965872793123e-12,6.0
smd_1D07,85585.8155400558,smd_1A04,136804.2461637984,0.0,0.0,7.0
smd_1A05,138992.0027073077,smd_1A05,157791.31359369113,138991.69805830414,0.8808577284311382,1.0
smd_1A02,90454.73466510409,smd_1A05,157791.31359369113,18799.47384856001,0.11914137363079572,2.0
smd_1A06,114341.52462382043,smd_1A05,157791.31359369113,0.09603458781657734,6.086177092350224e-07,3.0
smd_1A04,137885.8110432808,smd_1A05,157791.31359369113,0.03628007389522963,2.2992440501921389e-07,4.0
smd_1A03,65682.3047697429,smd_1A05,157791.31359369113,0.00937216102394502,5.9395924975173925e-08,5.0
,,smd_1A05,157791.31359369113,6.2586229075568e-08,3.9663925503989433e-13,6.0
smd_1A09,127755.47099881605,smd_1A05,157791.31359369113,5.112426573820071e-09,3.239992403501024e-14,7.0
smd_1D04,70963.37546461003,smd_1A05,157791.31359369113,2.2000316348778356e-10,1.3942666327899802e-15,8.0
smd_1D06,115019.96121963325,smd_1A05,157791.31359369113,0.0,0.0,9.5
smd_1D05,210141.86829017435,smd_1A05,157791.31359369113,0.0,0.0,9.5
smd_1A06,114341.52462382043,smd_1A06,141853.3235858808,94386.45132129478,0.6653806124193583,1.0
smd_1A10,163553.1674578274,smd_1A06,141853.3235858808,34042.59644122157,0.23998448242639525,2.0
smd_1A04,137885.8110432808,smd_1A06,141853.3235858808,13424.196657967319,0.09463434707499148,3.0
smd_1A07,120594.25895088226,smd_1A06,141853.3235858808,0.051580382128684654,3.6361772022533454e-07,4.0
smd_1E03,149906.59641595534,smd_1A06,141853.3235858808,0.01865541806187038,1.3151202657987792e-07,5.0
smd_1A09,127755.47099881605,smd_1A06,141853.3235858808,0.008929594847514525,6.294949333427759e-08,6.0
smd_1A05,138992.0027073077,smd_1A06,141853.3235858808,1.3673543618571886e-09,9.639212725455568e-15,7.0
,,smd_1A06,141853.3235858808,2.5461051154872634e-10,1.7948857673016037e-15,8.0
smd_1A02,90454.73466510409,smd_1A06,141853.3235858808,0.0,0.0,9.0
smd_1A07,120594.25895088226,smd_1A07,140549.17043054305,120593.90524300378,0.858019331409709,1.0
smd_1A06,114341.52462382043,smd_1A07,140549.17043054305,19954.941940912395,0.14197836870743952,2.0
smd_1E03,149906.59641595534,smd_1A07,140549.17043054305,0.1863172732006664,1.3256376585498323e-06,3.0
smd_1E01,192152.38485890988,smd_1A07,140549.17043054305,0.0735270557237877,5.231411576358147e-07,4.0
smd_4C03,180610.02593985896,smd_1A07,140549.17043054305,0.04636523190387827,3.2988620111985054e-07,5.0
smd_1A04,137885.8110432808,smd_1A07,140549.17043054305,0.013376948318516213,9.517628796768223e-08,6.0
smd_1A10,163553.1674578274,smd_1A07,140549.17043054305,0.004735537300647947,3.3693100330237574e-08,7.0
,,smd_1A07,140549.17043054305,6.209129669432602e-10,4.4177632997848575e-15,8.0
smd_1E01,192152.38485890988,smd_1A08,215640.02628850858,172990.1563176344,0.8022172844951698,1.0
smd_1E03,149906.59641595534,smd_1A08,215640.02628850858,29728.687149316393,0.13786256503948788,2.0
smd_1E02,151997.06769490516,smd_1A08,215640.02628850858,12921.093509547216,0.059919736293575936,3.0
,,smd_1A08,215640.02628850858,0.059670506648183234,2.7671350108420507e-07,4.0
smd_5A05,1621800.755985489,smd_1A08,215640.02628850858,0.0296414882896352,1.374581927103706e-07,5.0
smd_1A07,120594.25895088226,smd_1A08,215640.02628850858,0.0,0.0,7.0
smd_4C03,180610.02593985896,smd_1A08,215640.02628850858,0.0,0.0,7.0
smd_4C07,241342.93622441584,smd_1A08,215640.02628850858,0.0,0.0,7.0
smd_1E02,151997.06769490516,smd_1A09,183289.48858372495,96876.6504540001,0.5285444964823923,1.0
smd_1E03,149906.59641595534,smd_1A09,183289.48858372495,86412.64993453675,0.4714544767528458,2.0
smd_1E01,192152.38485890988,smd_1A09,183289.48858372495,0.18819517174260655,1.0267646726322811e-06,3.0
smd_1A10,163553.1674578274,smd_1A09,183289.48858372495,9.482704753937691e-09,5.1736216993186055e-14,4.0
smd_1A06,114341.52462382043,smd_1A09,183289.48858372495,5.80740476008351e-09,3.168433064523905e-14,5.0
,,smd_1A09,183289.48858372495,1.0619828042131296e-15,5.794019135625586e-21,6.0
smd_1A07,120594.25895088226,smd_1A09,183289.48858372495,0.0,0.0,7.5
