dcboe_hash_id,smd_id,candidate_name,num_candidacies,first_year
107485b0782006a0067e05ebe974229949dacffcd7234afadaa9b24a,smd_7B07,D.L. Humphrey,3,2014
10b952c7ebd5ff2ae29b6ed3ac89c1233988cf9f960c5ab6f50119fc,smd_2F08,Kevin Deeley,1,2014
10d70906f5214ffb149cee70c52c1fd90c25a66ecd1ad2022fd23601,smd_2A05,Graham Michael Galka,2,2012
12111b36b63ec6ee5535defde6642ea04954d93e7c8c334c3c6b5edf,smd_1D05,Arturo Griffiths,2,2012
127330a43c7209ca1498a323999257dfa7a64c4def2588ea08a4338b,smd_3F05,Manolis R. Priniotakis,1,2012
12ac54056d236230dbb0dfd5a95e75cff0104f8f255210e8e9fb9d76,smd_5D02,Darlene T. Miles-Harrison,1,2014
136f81259a0faceecbd76699f9a6012120906a8bc4ff6b7d45182dff,smd_2C02,Jamaal T. Burton,1,2018
13c404e5676460556fd2e25f45793a0643be631df7eae13b4f3f04d4,smd_3D01,Chuck Elkins,2,2016
13d958693b6f76af7b6cf1f49aa47792bb74a2bb2a92f7e80ce92a16,smd_5C05,Nicole Goines,1,2012
1428c706cfbd99c9646f2df76187c6fe4c261f8216f1af8411a4b2e7,smd_8B03,Barbara Jones,1,2016
1517ed5f34ee8200194cefac2d575ead1ecae8d2b3dc1465aebc9156,smd_6B06,Corey Holman,1,2018
162a44c60ecabdbed90cf793dcedd9ab7bf5f5226d89aea3b1ac17c1,smd_4C03,Ashik Siddique,1,2018
162b699ede795377d9388369847924fe50eee6b5fc94f3581a7255c3,smd_2F01,Katherine Gordon,1,2014
1652ba96b11fb2e4e63d96f8b81befadc6628a890e8f34a281b96973,smd_2E07,Elizabeth H. Miller,1,2018
165d995c7f298b38c012832b45f3122a1d8cace1e89b3d7648347c24,smd_5C06,Kirsten Williams,1,2018
169ef9892cd2e807aaf1cd399db6e23802a8b1f2a674fbfd065628da,smd_5D05,Kathy Henderson,3,2012
175784fc7873304aa5de7ca45c5874a3f2434bca559f884e41535bfa,smd_7E07,La Shawn Scott,1,2016
176a15b0ad5c5f5098100522fb7763e8ce8dbfab60a69118382dad7b,smd_7C04,"Walter J. Garcia, Ii",2,2012
17b620c582d46ab570dd80237d8c0ed7c92b94585cf892879b195e26,smd_4C09,Joseph Martin,2,2014
17c12cf7fe996b9a9de1e1a501ecf0caf99c8767ad32c699d495baf2,smd_4C05,Joseph M. Vaughan,1,2012
17debcb2880d306ae2833b1f53e2ee71a4735ba274438d61b4c7f66c,smd_3D01,Kent Slowinski,1,2012
184eb9ba724c54faf9534fa367476b8e7e22a51fe48fa3e87d43c0e0,smd_4C03,Jeff Standish,2,2012
186be9af5a61f80a402539dc66023489979658ba2c49bbd0d6f63882,smd_8E07,Stephen A. Slaughter,3,2014
18749530c2c9b853181a0b6aaff528b3d3ea4f9ed88583dba91fd582,smd_8C06,Nella Peterson,1,2014
18b521d86d757703ad12f98bad43c4f4c285b1b73ea795dc1bc0c540,smd_5E07,Wanda B. Foster,1,2012
18cbe44eebc4f30476bd46489a39222c11445f1132bbac79cd6a97af,smd_4B08,Camille A. Stewart,1,2014
