smd,full_name,first_name,middle_name,last_name,suffix,is_chair
4A03,Stephen A. Whatley,Stephen,A.,Whatley,,
4A04,Patience Singleton,Patience,,Singleton,,
4A06,Candace Tiana Nelson,Candace,,Tiana Nelson,,
4A07,Marlene Moss,Marlene,,Moss,,
4A08,Gale B. Black,Gale,B.,Black,,TRUE
4B01,Evan Yeats,Evan,,Yeats,,
4B02,Erin Palmer,Erin,,Palmer,,
4B03,Scot Knickerbocker,Scot,,Knickerbocker,,
4B04,Brenda Parks,Brenda,,Parks,,TRUE
4B05,Perry Redd,Perry,,Redd,,
4B06,Tiffani Nichole Johnson,Tiffani,,Nichole Johnson,,
4B07,Geoff Bromaghim,Geoff,,Bromaghim,,
4B08,Alison Brooks,Alison,,Brooks,,
4B09,LaRoya A. Huff,LaRoya,A.,Huff,,
4C01,Charlotte Nugent,Charlotte,,Nugent,,TRUE
4C02,Maria Barry,Maria,,Barry,,
4C03,Ulysses E. Campbell,Ulysses,E.,Campbell,,
4C04,Nora Simon,Nora,,Simon,,
4C05,Debbie Matties,Debbie,,Matties,,
4C06,Bennett Hilley,Bennett,,Hilley,,
4C07,Kim Varzi,Kim,,Varzi,,
4C08,Leah Anderson,Leah,,Anderson,,
4C09,Tearsa Coates,Tearsa,,Coates,,
4C10,Jonah Goodman,Jonah,,Goodman,,
4D01,Peter Tabor,Peter,,Tabor,,
4D02,Renée L. Bowser,Renée,L.,Bowser,,TRUE
4D03,Aaron Polkey,Aaron,,Polkey,,
4D04,Jamie Barden,Jamie,,Barden,,
4D05,Krystal Branton,Krystal,,Branton,,
4D06,Jonathan Nobil,Jonathan,,Nobil,,
5A01,Frank Wilds,Frank,,Wilds,,
5A02,Grace J. Lewis,Grace,J.,Lewis,,
5A03,Emily Singer Lucio,Emily,,Singer Lucio,,
5A05,Ronnie Edwards,Ronnie,,Edwards,,TRUE
5A06,Claudia Barragan,Claudia,,Barragan,,
5A07,Sandi Washington,Sandi,,Washington,,
