smd_id,Name,oanc_name,is_vacant,is_chairperson,oanc_hash_id
smd_2022_4C07,Eric HellerTreasurer,Eric Heller,False,False,9d2b7aac6d2d4efd9a71ceec43cf8d5cd82439450834378b9c049738
smd_2022_4D01,Antti Koskenrouta,Antti Koskenrouta,False,False,e263611a5fe24609fb0f260e1bb7fda550f35339f4ccf7b5a7a4d2dc
smd_2022_4D02,Abel Amene,Abel Amene,False,False,9ea17f6e50dfff972cf653cabc164c2d824445ebef9f498161ddbba0
smd_2022_4D03,Brendi BluittVice Chairperson,Brendi Bluitt,False,True,a70feed88693c3c78fc256e764243f215e05de9a619df5f00c2effa2
smd_2022_4D04,Eliza Cava,Eliza Cava,False,False,667a2ae4358de70446b96577f123a0d603b23b6003762ec05fbc0c12
smd_2022_4D05,Stephen Marencic JR.Treasurer,Stephen Marencic JR.,False,False,dcb91433cb723520bf260cc71524347c996e303f030d82b355dbfc7e
smd_2022_4D06,Stoyan Dimitrov,Stoyan Dimitrov,False,False,cfc12e7619b5c5fa2bbd19fcd38eeab87e6cabf621fe3f5025eb9965
smd_2022_4D07,Kayla D. Baker,Kayla D. Baker,False,False,20c731f3259dcdac09505ae02e09e56f196f8fdfab2df81d2f964f00
smd_2022_4D08,Jenn KauffmanChairperson,Jenn Kauffman,False,True,74f762221ad674a4146971404c06af027555ee602d377503dcc5b0d1
smd_2022_4E01,"Aretha ""Nikki"" JonesTreasurer","Aretha ""Nikki"" Jones",False,False,963345a3cb2dbda8c833381193ced1970c956d610a982760170c77a1
smd_2022_4E02,Vince MiconeChairperson,Vince Micone,False,True,4b9c295baaca53554f1d8d868474f54d2ea7a304f68b2eaa97a40ddd
smd_2022_4E03,Maria Barry,Maria Barry,False,False,18bdc39ed5df3ae246bb42ec27e28321441a8fe1640aee6e275b8892
smd_2022_4E04,Vacant,Vacant,True,False,dda9581fbc2da05f6e10d093ef81c975152af791cac8fd225b790c44
smd_2022_4E05,Camsie McAdams,Camsie McAdams,False,False,3011f1d1835e16c6aa71bcec0923a5393539b53e67bada9f45016588
smd_2022_4E06,Julianna GonenSecretary,Julianna Gonen,False,False,b64f7c19902b4e90e9c74a181d2f49d027574409f1b3611c22d76e96
smd_2022_5A01,Keith J. Sellars,Keith J. Sellars,False,False,e9ebcaa8e4e07237c87f1c84245c81251e72c02c128f623fbc5d6063
smd_2022_5A02,Timothy Thomas,Timothy Thomas,False,False,45904a89df770587c37b1a0af3c3b6e6834a2c0740ab51b6a16d2867
smd_2022_5A03,Emily Singer Lucio,Emily Singer Lucio,False,False,cf9e58f7f93b32ac07c281a05dbc72df8acfba1302bc14f6eb3cf04d
smd_2022_5A04,Jack HermesVice-Chairperson/Parliamentarian,Jack Hermes,False,True,b04ccc8bde241b6a1af2355b76e666f73f9cd4e54e7e107ed8603faf
smd_2022_5A05,Vacant,Vacant,True,False,d4f5031609f6040151613264441159d60b17ba6ed8cc78891428b1b6
smd_2022_5A06,Derrick HollowaySargent at Arms,Derrick Holloway,False,False,e9be01ac04d5579a3f566290715e3ea754aaf8701802eff6ba351a7a
smd_2022_5A07,Valeria Sosa GarnicaChairperson,Valeria Sosa Garnica,False,True,985b1418e0922e00d0d00e751f6e8ea0198f33050230cfab100fe4e1
smd_2022_5A08,Elaine AlstonSecretary,Elaine Alston,False,False,e62249d362fd580995f9000640664f94e88213442815d5cb6887967d
smd_2022_5A09,Shelagh BocoumTreasurer,Shelagh Bocoum,False,False,7ea680c724a6919c0f6ea7ef28ee0792313fb7d0a186e510c3fff43c
smd_2022_5B01,Edward BorregoChairperson,Edward Borrego,False,True,107c15d6fbfd1bff0bd83ca38625b5bb9ea968ae8a11b8864a45a19d
smd_2022_5B02,Nandini SenVice Chairperson,Nandini Sen,False,True,2bdd5d1be2569a5cbddfe7d87616b662200ee37092c36ecb62a229e0
smd_2022_5B03,Jingwen Sun,Jingwen Sun,False,False,962f0e1226122b17dc786909aef435e02b12893f3ee95a38b4cac44c
smd_2022_5B04,Ra Amin,Ra Amin,False,False,3d46e8598eee10b005321964fb0df95a6d4d568df9fc434ca9d89d42
smd_2022_5B05,Mónica Martínez López,Mónica Martínez López,False,False,fe4862a1be70bc9ae5c0182885755caa9bef30fdfa4e75507d3662ab
smd_2022_5B06,Maya VizvaryTreasurer,Maya Vizvary,False,False,e35fce9fea03a1525d195e6e8342ed580dd06ce9a6578cee82384777
smd_2022_5B07,Zahid RathoreSecretary,Zahid Rathore,False,False,2990c93006e63f9f3d6f883bddb1afa21fd2c9973afa64abea33c0dd
smd_2022_5C01,Konyka DunsonParliamentarian,Konyka Dunson,False,False,e6c353e957834a82e407d4ae8de4173127801b616f786c96c9b6938a
smd_2022_5C02,Sasha FrancisSecretary,Sasha Francis,False,False,aa79a75850703e3924a052d5ebe2df9524d67fe52155b0991203942c
smd_2022_5C03,Tequia Hicks DelgadoChairperson,Tequia Hicks Delgado,False,True,7d812efa0c070a8bd3bf8a92201a12208a438b84590b24c2e5218f9e
smd_2022_5C04,Shawn Nelson,Shawn Nelson,False,False,f8bee2b5ee97ef4f3347063e340a9512a31b9376011a94a32bf4465c
smd_2022_5C05,Darlene Oliver,Darlene Oliver,False,False,d57ab6c2d824b16821997019a29a5105b9c86ce2f7e2ebf4cded4639
smd_2022_5C06,Harry Thomas Jr.,Harry Thomas Jr.,False,False,8b403a3bc90595a50b392c76dd40fc0c21608e531955ba167eef0ed3
smd_2022_5C07,VJ KapurVice Chairperson/Treasurer,VJ Kapur,False,True,2e348a72b7624c2ad073b13105b3cb8eec5bb75a241a52fa1b38f7dc
smd_2022_5D01,Isabel Cholbi,Isabel Cholbi,False,False,cc92aca4fe6566399a6f30b734cd994b8a5500b7e49fa1ceab8d556f
smd_2022_5D02,Sebrena L. RhodesVice Chairperson,Sebrena L. Rhodes,False,True,51993b8a51dcd2b6d1414b73423a1605717f1b90a0472da442e46b08
smd_2022_5D03,Anna RoblinSecretary,Anna Roblin,False,False,3336acb56c5a4b3edb511fcf9be1ae02a76ea6bdaa51d65eb1aa19dc
smd_2022_5D04,Nathan S. Hosler,Nathan S. Hosler,False,False,9d1d4e591261172c0dd122cf3fbc6a8af3bab915d628a33161196d39
smd_2022_5D05,Salvador Sauceda-GuzmánChairperson,Salvador Sauceda-Guzmán,False,True,5e16aef4b7e927b205c12c0ce9e0d7ad282475b542b2afb6be1c2ebd
smd_2022_5D06,Charquinta McCrayTreasurer,Charquinta McCray,False,False,819a7b0c9cc106d954d753cb9679049a84b13ddf67122919d2919abd
