smd_id,Name,official_name,is_vacant,is_chairperson,oanc_hash_id
smd_8A06,Robin McKinney,Robin McKinney,False,False,0ceed5225adab79999348da490fd7bf4f596144bf1cafb4189288312
smd_8A07,Steven Tiller,Steven Tiller,False,False,566e4683803ee549dadbdac4b5e997a2f234181ef93a04f99a3802a6
smd_8B01,Khadijah Watson,Khadijah Watson,False,False,b457d33320c9e2aa1ace39d23010042f2e4a11ccb35fe93866959f85
smd_8B02,Paul Trantham,Paul Trantham,False,False,b96170278d04b396c0b8cd7fc63056eeb564e141908bdfeab3052457
smd_8B03,Charles H. Wilson,Charles H. Wilson,False,False,c1c54ba401958b9b8004a8bee7ccb2817e9ed772f75efbd41663f1e7
smd_8B04,Kevin B. Coleman  Chairperson,Kevin B. Coleman,False,True,f8d8ea6a6a2499a5a207684f9100ba78013de25e7bee47e6303f55dc
smd_8B05,Michelle Kiah,Michelle Kiah,False,False,ec5a325dff4d3bcca028ce6e5822fc6a892caf2958edfbd518addb97
smd_8B06,Vacant,Vacant,True,False,f3061fc6e945669b39ed1358c3a2f55978cc37a312467e2e0cd873ab
smd_8B07,Vacant,Vacant,True,False,f91a94d58eb7a159abd4f6aa75dae7728ac50505a07f60f92772627e
smd_8C01,Kwasi Seitu,Kwasi Seitu,False,False,455261c683d3e55b0e413829f437bf6191f96ffe1c28fadce50fae92
smd_8C02,Victoria Akinseye,Victoria Akinseye,False,False,d2de5c2bb647d3d3aecccfb40a123c47a51beb52b127bb590a761fb4
smd_8C03,Tasha J. Powell,Tasha J. Powell,False,False,889bcd87a37e3dc6a97d400524325bf898922aed0c4e84e5b20e8933
smd_8C04,Vacant,Vacant,True,False,4aa3fc4e139f65c3b7960847880a2a0be327727a29301cecdb5b3b56
smd_8C05,Mustafa Abdul-Salaam,Mustafa Abdul-Salaam,False,False,d80dcd982ae5d5cd2ba4968576282f8564a7490f9b9b5296b498bdf9
smd_8C06,Rhonda L. Edwards-Hines,Rhonda L. Edwards-Hines,False,False,c5af00453bded51fc7ee5d738494283f7c3532dad96496b347eb70ff
