smd_id,Name,oanc_name,is_vacant,is_chairperson,oanc_hash_id
smd_2022_1A01,Max Ewart  Vice Chair,Max Ewart  Vice Chair,False,False,a2b3e26a0689c3de0aeeaa2a71ab274d90f24118093b35f740cb5739
smd_2022_1A02,Dieter Lehmann Morales Chairperson,Dieter Lehmann Morales,False,True,a8c58f17d6df64440f9a97bf8d89f1455bc71c0692a201b936ce87a6
smd_2022_1A03,Carlo Perri,Carlo Perri,False,False,6c8bcac8a8928bb2b2cc83dff1cf4bc5b08faacb9eab05d738a70968
smd_2022_1A04,Jeremy Sherman,Jeremy Sherman,False,False,622d3a5d934b451a9e68d5fc095967b3a0f92306c11f17f2b27adf64
smd_2022_1A05,Stephen Coleman Kenny,Stephen Coleman Kenny,False,False,ce27ae0bceb0130d130e6a00069265ed5c0326b2f3b8587ded02bdf6
smd_2022_1A06,Brandolon Barnett,Brandolon Barnett,False,False,8e91677e627db09a7d92e7597b8824ff4d4e6a7709dbfab051e1bd85
smd_2022_1A07,Mukta Ghorpadey  Secretary,Mukta Ghorpadey  Secretary,False,False,f7a9d42719c4dacb45585cbce49e71a8805db11d9e2b478d4d0bfe12
smd_2022_1A08,David Segall,David Segall,False,False,f689a64e52e306a6d2a830b093c64758e734144c7537dcab68c93477
smd_2022_1A09,James A. Turner  Treasurer,James A. Turner  Treasurer,False,False,0899423e58c4bcdf7724a5387a03dc0b9c624648cb26b8370db8e2ef
smd_2022_1A10,Billy Easley,Billy Easley,False,False,1e31fd5eef7242837ed76a44d023856e685fd2e33600942ed41cfce5
smd_2022_1B01,Larry Handerhan  Vice Chair,Larry Handerhan  Vice Chair,False,False,f4711977f7371cbb9d672c47576493a36cf5a14a17302cbd10f6409f
smd_2022_1B02,Sean Holihan,Sean Holihan,False,False,b1dc2dfecc23e1fa6e4431defc5bc66718812ae557392be7550ccdc9
smd_2022_1B03,Jamie S. Sycamore,Jamie S. Sycamore,False,False,23c7c09862c53eca7c6e026a2e29f8b462870c7872f954ae367fba9f
smd_2022_1B04,Santiago Lakatos  Treasurer,Santiago Lakatos  Treasurer,False,False,45d62c0e8bc7f944d8726994ca0d9044836f1efd0ea0503b420a7632
smd_2022_1B05,Alan Kensek,Alan Kensek,False,False,938f8f59c590fb392a8f3105600872618c369f3e98e87ec67a0d36bb
smd_2022_1B06,Vacant,Vacant,True,False,4ae7cf4820b846ddd3fae1e10f72dcd70f07db82b0f5e12600237390
smd_2022_1B07,Ashleigh Fields,Ashleigh Fields,False,False,f5e2c9d9a4297de27ab4de9b3b80f2898917b4202a3aa8b0e23e88fa
smd_2022_1B08,Sabel Harris  Chairperson,Sabel Harris,False,True,a9a4d00bb99284a359ed0e6abe2bfd26dfff4106c0f20c497a78db94
smd_2022_1B09,Tucker Jones  Secretary,Tucker Jones  Secretary,False,False,388623561de801255a61757435854caa63f41c20f265a5f1a55ecd74
smd_2022_1C01,Vacant,Vacant,True,False,0454a30114b9231f82bdf6edd261498042f8d610e5546f09eabd74be
smd_2022_1C02,Lee Dixon,Lee Dixon,False,False,111aa53c2f0cd8d4afe4176ae07dec4f74a3caaf25342acbaac172b4
smd_2022_1C03,Peter Wood  Chairperson,Peter Wood,False,True,9c5274f5ad604279f871fa28067f7277cbb41223c4b23f7c0f410ba3
smd_2022_1C04,Joseph Van Wye  Vice Chair,Joseph Van Wye  Vice Chair,False,False,422d4131c4c47b1688ab3be7e59f0f430f5ed7192d50aeccc54aece4
smd_2022_1C05,Margaret Stevens,Margaret Stevens,False,False,411703cb70bef1f6eb81f05229e3fe5f318ab999002239ce84b01fbe
smd_2022_1C06,Lynda Laughlin,Lynda Laughlin,False,False,696edf104837545d69283fe861a5b16441185e809e31a6762ecd01bc
smd_2022_1C07,Jake Faleschini  Secretary,Jake Faleschini  Secretary,False,False,7583bde7af8ea7ddc4e465ee5c0b205051addfefea54cd6ef30cd68e
smd_2022_1C08,Barney Shapiro  Treasurer,Barney Shapiro  Treasurer,False,False,adbf040c8122e0971376eb504ece8c170ec824ba73614cae70d77a81
smd_2022_1C09,Vacant,Vacant,True,False,cc6e8b398ce06fe10e6c257a5d3da1862def33725d05556944e0a82a
smd_2022_1D01,Kelly Willis,Kelly Willis,False,False,25d5e059e49a8810a0d1a956cd048b2f0cd2fcb4d4b47d1c9d3fef19
smd_2022_1D02,Hannah Grigg  Treasurer,Hannah Grigg  Treasurer,False,False,9e1bd800b1ae0733eb78fffa056e373d96d8cbac3e7f997e453efd70
smd_2022_1D03,Erika Nunez  Secretary,Erika Nunez  Secretary,False,False,6ef13d8d26d1c817dc1703e774436a975e6bb0003af90c98171f1f6d
smd_2022_1D04,Yasim Romero,Yasim Romero,False,False,16cdcc374066eef207232a9e597a1bb365567db9c8ababbf9707b3b6
smd_2022_1D05,Omar Parbhoo,Omar Parbhoo,False,False,78d3fc81949f87f34ff039426cbc5ea056cab897ff772c8c93ca6eb2
smd_2022_1D06,Angela Allison  Chairperson,Angela Allison,False,True,4a21d15d57628ce7395b6fb49ef3a0219f07bccfba2f426a18251e00
