smd_id,lon,lat,smd_name,map_color_id,number_of_candidates,map_display_box
smd_2022_1A01,-77.03488739,38.92573445,1A01,12,1,"<b><a href=""map_2022/ancs/districts/1A01.html"">District 1A01</a></b><br/>Candidates: <a href=""people/MaxEwart.html"">Max Ewart</a>"
smd_2022_1A02,-77.03314326,38.93251411,1A02,2,1,"<b><a href=""map_2022/ancs/districts/1A02.html"">District 1A02</a></b><br/>Candidates: <a href=""people/DieterLehmannMorales.html"">Dieter Lehmann Morales</a>"
smd_2022_1A03,-77.03551817,38.92762288,1A03,3,1,"<b><a href=""map_2022/ancs/districts/1A03.html"">District 1A03</a></b><br/>Candidates: <a href=""people/CarloPerri.html"">Carlo Perri</a>"
smd_2022_1A04,-77.03090954,38.93420457,1A04,4,1,"<b><a href=""map_2022/ancs/districts/1A04.html"">District 1A04</a></b><br/>Candidates: <a href=""people/JeremySherman.html"">Jeremy Sherman</a>"
smd_2022_1A05,-77.03456109,38.930572399999996,1A05,5,1,"<b><a href=""map_2022/ancs/districts/1A05.html"">District 1A05</a></b><br/>Candidates: <a href=""people/StephenColemanKenny.html"">Stephen Coleman Kenny</a>"
smd_2022_1A06,-77.02963940000002,38.93048579,1A06,6,0,"<b><a href=""map_2022/ancs/districts/1A06.html"">District 1A06</a></b><br/>Candidates: (no known candidates)"
smd_2022_1A07,-77.0279631,38.93417219,1A07,7,1,"<b><a href=""map_2022/ancs/districts/1A07.html"">District 1A07</a></b><br/>Candidates: <a href=""people/MuktaGhorpadey.html"">Mukta Ghorpadey</a>"
smd_2022_1A08,-77.03439232,38.92447529,1A08,8,1,"<b><a href=""map_2022/ancs/districts/1A08.html"">District 1A08</a></b><br/>Candidates: <a href=""people/DavidSegall.html"">David Segall</a>"
smd_2022_1A09,-77.03061519,38.92678621,1A09,4,1,"<b><a href=""map_2022/ancs/districts/1A09.html"">District 1A09</a></b><br/>Candidates: <a href=""people/JamesATurner.html"">James A. Turner</a>"
smd_2022_1A10,-77.02771195,38.92771764,1A10,11,2,"<b><a href=""map_2022/ancs/districts/1A10.html"">District 1A10</a></b><br/>Candidates: <a href=""people/DottiLoveWade.html"">Dotti Love Wade</a>, <a href=""people/BillyEasley.html"">Billy Easley</a>"
smd_2022_1B01,-77.01756336,38.91690085,1B01,1,1,"<b><a href=""map_2022/ancs/districts/1B01.html"">District 1B01</a></b><br/>Candidates: <a href=""people/LarryHanderhan.html"">Larry Handerhan</a>"
smd_2022_1B02,-77.02449852,38.91589574,1B02,2,1,"<b><a href=""map_2022/ancs/districts/1B02.html"">District 1B02</a></b><br/>Candidates: <a href=""people/SeanHolihan.html"">Sean Holihan</a>"
smd_2022_1B03,-77.02803412,38.92128883,1B03,6,1,"<b><a href=""map_2022/ancs/districts/1B03.html"">District 1B03</a></b><br/>Candidates: <a href=""people/JamieSSycamore.html"">Jamie S. Sycamore</a>"
smd_2022_1B04,-77.03058734,38.91913843,1B04,4,2,"<b><a href=""map_2022/ancs/districts/1B04.html"">District 1B04</a></b><br/>Candidates: <a href=""people/HarryQuinton.html"">Harry Quinton</a>, <a href=""people/SantiagoLakatos.html"">Santiago Lakatos</a>"
smd_2022_1B05,-77.03224928,38.91936308,1B05,3,1,"<b><a href=""map_2022/ancs/districts/1B05.html"">District 1B05</a></b><br/>Candidates: <a href=""people/LindsayWebb.html"">Lindsay Webb</a>"
smd_2022_1B06,-77.03458108,38.92147463,1B06,9,0,"<b><a href=""map_2022/ancs/districts/1B06.html"">District 1B06</a></b><br/>Candidates: (no known candidates)"
smd_2022_1B07,-77.03893628,38.91776721,1B07,9,1,"<b><a href=""map_2022/ancs/districts/1B07.html"">District 1B07</a></b><br/>Candidates: <a href=""people/AshleighFields.html"">Ashleigh Fields</a>"
smd_2022_1B08,-77.02994485,38.91610901,1B08,12,1,"<b><a href=""map_2022/ancs/districts/1B08.html"">District 1B08</a></b><br/>Candidates: <a href=""people/SabelHarris.html"">Sabel Harris</a>"
smd_2022_1B09,-77.02965674,38.92353438,1B09,3,1,"<b><a href=""map_2022/ancs/districts/1B09.html"">District 1B09</a></b><br/>Candidates: <a href=""people/TuckerJones.html"">Tucker Jones</a>"
smd_2022_1C01,-77.04395056,38.91703129,1C01,1,1,"<b><a href=""map_2022/ancs/districts/1C01.html"">District 1C01</a></b><br/>Candidates: <a href=""people/HoBauleke.html"">Howard Bauleke</a>"
smd_2022_1C02,-77.04672174,38.91900885,1C02,6,1,"<b><a href=""map_2022/ancs/districts/1C02.html"">District 1C02</a></b><br/>Candidates: <a href=""people/LeeDixon.html"">Lee Dixon</a>"
smd_2022_1C03,-77.04376576,38.92061001,1C03,3,1,"<b><a href=""map_2022/ancs/districts/1C03.html"">District 1C03</a></b><br/>Candidates: <a href=""people/PeterWood.html"">Peter Wood</a>"
smd_2022_1C04,-77.04670832,38.92409075,1C04,4,1,"<b><a href=""map_2022/ancs/districts/1C04.html"">District 1C04</a></b><br/>Candidates: <a href=""people/JosephVanWye.html"">Joseph Van Wye</a>"
smd_2022_1C05,-77.04241608,38.92493981,1C05,6,2,"<b><a href=""map_2022/ancs/districts/1C05.html"">District 1C05</a></b><br/>Candidates: <a href=""people/MargaretStevens.html"">Margaret Stevens</a>, <a href=""people/WilmaBYJones.html"">Wilma B.Y. Jones</a>"
smd_2022_1C06,-77.03932642,38.92609165,1C06,5,1,"<b><a href=""map_2022/ancs/districts/1C06.html"">District 1C06</a></b><br/>Candidates: <a href=""people/LyndaLaughlin.html"">Lynda Laughlin</a>"
smd_2022_1C07,-77.04084233,38.91962871,1C07,7,2,"<b><a href=""map_2022/ancs/districts/1C07.html"">District 1C07</a></b><br/>Candidates: <a href=""people/JakeFaleschini.html"">Jake Faleschini</a>, <a href=""people/IvanTaylorJr.html"">Ivan Taylor Jr.</a>, <a href=""people/NyShia.html"">Nancy Shia</a>"
smd_2022_1C08,-77.03845686,38.92003392,1C08,8,0,"<b><a href=""map_2022/ancs/districts/1C08.html"">District 1C08</a></b><br/>Candidates: (no known candidates)"
smd_2022_1C09,-77.03774502,38.92393393,1C09,6,0,"<b><a href=""map_2022/ancs/districts/1C09.html"">District 1C09</a></b><br/>Candidates: (no known candidates)"
smd_2022_1D01,-77.04345178,38.93169925,1D01,5,0,"<b><a href=""map_2022/ancs/districts/1D01.html"">District 1D01</a></b><br/>Candidates: (no known candidates)"
smd_2022_1D02,-77.03820954,38.93621029,1D02,10,1,"<b><a href=""map_2022/ancs/districts/1D02.html"">District 1D02</a></b><br/>Candidates: <a href=""people/HannahGrigg.html"">Hannah Grigg</a>"
smd_2022_1D03,-77.04315297,38.93479352,1D03,11,1,"<b><a href=""map_2022/ancs/districts/1D03.html"">District 1D03</a></b><br/>Candidates: <a href=""people/ErikaNunez.html"">Erika Nunez</a>"
smd_2022_1D04,-77.03766493,38.92990181,1D04,12,1,"<b><a href=""map_2022/ancs/districts/1D04.html"">District 1D04</a></b><br/>Candidates: <a href=""people/YasminRomeroLatin.html"">Yasmin Romero-Latin</a>"
smd_2022_1D05,-77.04034879,38.92920983,1D05,1,1,"<b><a href=""map_2022/ancs/districts/1D05.html"">District 1D05</a></b><br/>Candidates: <a href=""people/OmarParbhoo.html"">Omar Parbhoo</a>"
smd_2022_1D06,-77.03663269,38.93386957,1D06,6,2,"<b><a href=""map_2022/ancs/districts/1D06.html"">District 1D06</a></b><br/>Candidates: <a href=""people/AngelaAllison.html"">Angela Allison</a>, <a href=""people/RobinSandenburgh.html"">Robin Sandenburgh</a>"
smd_2022_1D07,-77.03439576,38.93608617,1D07,1,1,"<b><a href=""map_2022/ancs/districts/1D07.html"">District 1D07</a></b><br/>Candidates: <a href=""people/AnthonyBarnes.html"">Anthony Barnes</a>"
smd_2022_1E01,-77.02139905,38.93486578,1E01,8,1,"<b><a href=""map_2022/ancs/districts/1E01.html"">District 1E01</a></b><br/>Candidates: <a href=""people/KentCBoese.html"">Kent C. Boese</a>"
smd_2022_1E02,-77.02179819,38.93203566,1E02,9,1,"<b><a href=""map_2022/ancs/districts/1E02.html"">District 1E02</a></b><br/>Candidates: <a href=""people/BobbieLaster.html"">Bobbie Lancaster</a>"
smd_2022_1E03,-77.02506835,38.93135056,1E03,10,1,"<b><a href=""map_2022/ancs/districts/1E03.html"">District 1E03</a></b><br/>Candidates: <a href=""people/MichaelWray.html"">Michael Wray</a>"
smd_2022_1E04,-77.02149284,38.92871258,1E04,3,2,"<b><a href=""map_2022/ancs/districts/1E04.html"">District 1E04</a></b><br/>Candidates: <a href=""people/RashidaBrown.html"">Rashida Brown</a>, <a href=""people/MikeMcLaughlin.html"">Mike McLaughlin</a>"
smd_2022_1E05,-77.01867327,38.92446123,1E05,8,0,"<b><a href=""map_2022/ancs/districts/1E05.html"">District 1E05</a></b><br/>Candidates: (no known candidates)"
smd_2022_1E06,-77.02385905,38.92250813,1E06,12,2,"<b><a href=""map_2022/ancs/districts/1E06.html"">District 1E06</a></b><br/>Candidates: <a href=""people/JoshJacobson.html"">Josh Jacobson</a>, <a href=""people/EGailAndersonHolness.html"">E. Gail Anderson Holness</a>"
smd_2022_1E07,-77.01534905,38.92062504,1E07,3,2,"<b><a href=""map_2022/ancs/districts/1E07.html"">District 1E07</a></b><br/>Candidates: <a href=""people/BrianFooter.html"">Brian Footer</a>, <a href=""people/AmandaFarnan.html"">Amanda Farnan</a>"
smd_2022_2A01,-77.04524929,38.88504169,2A01,11,2,"<b><a href=""map_2022/ancs/districts/2A01.html"">District 2A01</a></b><br/>Candidates: <a href=""people/YannikOmictin.html"">Yannik Omictin</a>, <a href=""people/SusanaBarañano.html"">Susana Barañano</a>"
smd_2022_2A02,-77.05296703,38.90664357,2A02,1,1,"<b><a href=""map_2022/ancs/districts/2A02.html"">District 2A02</a></b><br/>Candidates: <a href=""people/JimMalec.html"">Jim Malec</a>"
smd_2022_2A03,-77.05427457,38.90245884,2A03,3,1,"<b><a href=""map_2022/ancs/districts/2A03.html"">District 2A03</a></b><br/>Candidates: <a href=""people/TruptiTripJPatel.html"">Trupti ""Trip"" J. Patel</a>"
smd_2022_2A04,-77.05741032,38.89237694,2A04,5,2,"<b><a href=""map_2022/ancs/districts/2A04.html"">District 2A04</a></b><br/>Candidates: <a href=""people/CarsonColtonRobb.html"">Carson Colton Robb</a>, <a href=""people/EdComer.html"">Ed Comer</a>"
smd_2022_2A05,-77.05110469,38.89698137,2A05,6,0,"<b><a href=""map_2022/ancs/districts/2A05.html"">District 2A05</a></b><br/>Candidates: (no known candidates)"
smd_2022_2A06,-77.04864215,38.90537614,2A06,7,0,"<b><a href=""map_2022/ancs/districts/2A06.html"">District 2A06</a></b><br/>Candidates: (no known candidates)"
smd_2022_2A07,-77.03592859999998,38.89640509,2A07,9,1,"<b><a href=""map_2022/ancs/districts/2A07.html"">District 2A07</a></b><br/>Candidates: <a href=""people/DasiaBandy.html"">Dasia Bandy</a>"
smd_2022_2A08,-77.04703273,38.90167342,2A08,11,1,"<b><a href=""map_2022/ancs/districts/2A08.html"">District 2A08</a></b><br/>Candidates: <a href=""people/JordanNassar.html"">Jordan Nassar</a>"
smd_2022_2A09,-77.05056106,38.90028862,2A09,8,1,"<b><a href=""map_2022/ancs/districts/2A09.html"">District 2A09</a></b><br/>Candidates: <a href=""people/EvelynHudson.html"">Evelyn Hudson</a>"
smd_2022_2B01,-77.04425393,38.91351566,2B01,10,1,"<b><a href=""map_2022/ancs/districts/2B01.html"">District 2B01</a></b><br/>Candidates: <a href=""people/MegRoggensack.html"">Meg Roggensack</a>"
