candidate_id,person_id,dcboe_hash_id,smd_id,candidate_name
50476,10016,4e41512d3d293ecc2030fcd93f5276636ea53db44380f22f27a3992d,smd_1B04,Deborah Thomas
50477,10589,cc1e21db218a090257de7d90682bdfa55fd8678fcd9a9a04709dbfde,smd_1B05,Lucas Mccabe
50478,10590,b00b52f342c6abaae7ae7b86914cfed6e9ccf009da0766c7155f6dbe,smd_2A07,Adam Friend
50479,10591,8468fcb269d12af5c486e1fc51feb2b555b22199048f90b774edac7a,smd_2B03,Sarah Mehrotra
50480,10592,ee1dd94b32a2357f2944b778e7e0950ff5c4248ad0c43c5679be3961,smd_2B06,Cameron Powell
50481,10593,430d9e057fa06f4821919b9884b4c28a2116eeb4243a5c02e49c1baa,smd_3G04,Michael Zeldin
50482,10119,52cae8497807a313eb0ca86c6553ea784f5425e37e6da099362e4aea,smd_4A07,Marlene Hunt Moss
50483,10594,6dbe1ab23887798a0536c835f6f180a491e68d33b0e781e5b4da6e04,smd_4C04,Steve Donahoe
50484,10151,eec14f8decee289333c9c398ba7ccae64b713b4951eb6e67b9f8780f,smd_5A07,Sandra Washington
50485,10595,261c843ea191384ae9328984a830e54bc177bdf629d97473073f84c0,smd_5E01,Chelsea Skinner
50486,10596,5cc022a8b9e62ce65b4f15b5e4627671cbb5445fe015542588e68fa9,smd_6D02,"Paul Biedlingmaier, III"
50487,10216,7849da419ac935d1a0b7cd974f8257bb38a6c265adfff36ab42cf5f1,smd_6E06,"Alvin Judd, SR."
50488,10597,c4292ef3ac018ec169878ed223328f8b54afad6771e24839b5346d28,smd_7B02,"David Brooks, II"
50489,10234,8df6a6cff40e30aafbff0fe2df79dcbd81f3473afdf6e2b8dcb3f0d7,smd_7D04,Cinque Culver
50490,10598,ee6757f366a0a5d9da88366b2eabb4e4072a6d5e20621dc2a3bd0f74,smd_7F01,Ashley Ruff
50491,10599,30d28de45984711eab609d9167bd54586a6cc6be6173ae26f963f0f3,smd_8C04,Travon Hawkins
50492,10600,3fd89fee6064dfd34d5c2759dfefd1695fd51a2b46aaaf56b24e7193,smd_8D01,Zenobia Love
