smd_id,lon,lat,smd,current_commissioner,commissioner_elect,votes_2020,map_display_box
smd_1A01,-77.03412972287954,38.93611303340671,1A01,Layla Bonnot,,519,"<b>District 1A01</b><br/><a href=""ancs/districts/1a01.html"">District Page</a><br/>Commissioner: Layla Bonnot"
smd_1A02,-77.03443069499727,38.93381287472092,1A02,Dieter Lehmann Morales,,797,"<b>District 1A02</b><br/><a href=""ancs/districts/1a02.html"">District Page</a><br/>Commissioner: Dieter Lehmann Morales"
smd_1A03,-77.03450455712208,38.92757368318783,1A03,Carlo Perri,,616,"<b>District 1A03</b><br/><a href=""ancs/districts/1a03.html"">District Page</a><br/>Commissioner: Carlo Perri"
smd_1A04,-77.03122314576842,38.93401296303263,1A04,Chris Hall,,705,"<b>District 1A04</b><br/><a href=""ancs/districts/1a04.html"">District Page</a><br/>Commissioner: Chris Hall"
smd_1A05,-77.03437454161045,38.93071628511695,1A05,Christine Miller,,631,"<b>District 1A05</b><br/><a href=""ancs/districts/1a05.html"">District Page</a><br/>Commissioner: Christine Miller"
smd_1A06,-77.02965105723172,38.93012215834535,1A06,Brandolon Barnett,,815,"<b>District 1A06</b><br/><a href=""ancs/districts/1a06.html"">District Page</a><br/>Commissioner: Brandolon Barnett"
smd_1A07,-77.0278763759389,38.93378167485273,1A07,Mukta Ghorpadey,,840,"<b>District 1A07</b><br/><a href=""ancs/districts/1a07.html"">District Page</a><br/>Commissioner: Mukta Ghorpadey"
smd_1A08,-77.02281490254707,38.93496990138152,1A08,Kent C. Boese,,1121,"<b>District 1A08</b><br/><a href=""ancs/districts/1a08.html"">District Page</a><br/>Commissioner: Kent C. Boese"
smd_1A09,-77.02345070046313,38.93190067712,1A09,Michael Wray,,939,"<b>District 1A09</b><br/><a href=""ancs/districts/1a09.html"">District Page</a><br/>Commissioner: Michael Wray"
smd_1A10,-77.02166226756961,38.929723457421076,1A10,Rashida Brown,,934,"<b>District 1A10</b><br/><a href=""ancs/districts/1a10.html"">District Page</a><br/>Commissioner: Rashida Brown"
smd_1A11,-77.02866324171401,38.92800890344182,1A11,Dotti Love Wade,,607,"<b>District 1A11</b><br/><a href=""ancs/districts/1a11.html"">District Page</a><br/>Commissioner: Dotti Love Wade"
smd_1A12,-77.03218347391251,38.926209196540974,1A12,(vacant),,144,"<b>District 1A12</b><br/><a href=""ancs/districts/1a12.html"">District Page</a><br/>Commissioner: (vacant)"
smd_1B01,-77.01861218673801,38.916735738956596,1B01,Larry Handerhan,,919,"<b>District 1B01</b><br/><a href=""ancs/districts/1b01.html"">District Page</a><br/>Commissioner: Larry Handerhan"
smd_1B02,-77.02583608170856,38.91688319962512,1B02,Dan Orlaskey,,1125,"<b>District 1B02</b><br/><a href=""ancs/districts/1b02.html"">District Page</a><br/>Commissioner: Dan Orlaskey"
